source,language,article_id,url,title,extracted_at,climate_max_sim,climate_best_keyword,health_max_sim,health_best_keyword,climate_threshold,health_threshold,category
aftonbladet_se,Swedish,3342,https://www.aftonbladet.se/tagg/extremvader,Extremväder,2026-03-08 17:19:59,0.6011,climate emergencies,0.5489,extreme poverty,0.60,0.62,climate
aftonbladet_se,Swedish,3707,https://www.aftonbladet.se/tagg/joel-ankar,Joel Ankar,2026-03-08 17:27:30,0.6080,heatwave,0.6382,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,3716,https://www.aftonbladet.se/tagg/joakim-paasikivi,Joakim Paasikivi,2026-03-08 17:27:42,0.6269,heatwave,0.6590,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,3735,https://www.aftonbladet.se/tagg/j-k-rowling,J.K. Rowling,2026-03-08 17:28:05,0.6047,heatwave,0.6172,west nile virus,0.60,0.62,climate
aftonbladet_se,Swedish,3760,https://www.aftonbladet.se/tagg/jessica-rosencrantz,Jessica Rosencrantz,2026-03-08 17:28:36,0.5858,heatwave,0.6296,west nile virus,0.60,0.62,health
aftonbladet_se,Swedish,3813,https://www.aftonbladet.se/tagg/jenny-berggren,Jenny Berggren,2026-03-08 17:29:42,0.5914,heatwave,0.6202,casualties,0.60,0.62,health
aftonbladet_se,Swedish,3831,https://www.aftonbladet.se/tagg/jennie-lee-burmansson,Jennie-Lee Burmansson,2026-03-08 17:30:05,0.5987,heatwave,0.6262,casualties,0.60,0.62,health
aftonbladet_se,Swedish,3864,https://www.aftonbladet.se/tagg/jas-gripen,JAS Gripen,2026-03-08 17:30:47,0.6137,heatwave,0.6474,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,3879,https://www.aftonbladet.se/tagg/januariavtalet-ja,Januariavtalet (JA),2026-03-08 17:31:05,0.5948,heatwave,0.6267,hunger,0.60,0.62,health
aftonbladet_se,Swedish,3880,https://www.aftonbladet.se/tagg/jan-teorell,Jan Teorell,2026-03-08 17:31:06,0.6087,heatwave,0.6177,west nile virus,0.60,0.62,climate
aftonbladet_se,Swedish,3883,https://www.aftonbladet.se/tagg/jan-ove-waldner,Jan-Ove Waldner,2026-03-08 17:31:10,0.6016,heatwave,0.5989,hunger,0.60,0.62,climate
aftonbladet_se,Swedish,3937,https://www.aftonbladet.se/tagg/jamal-el-haj,Jamal El-Haj,2026-03-08 17:32:18,0.6081,heatwave,0.6388,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,3964,https://www.aftonbladet.se/tagg/jacob-zuma,Jacob Zuma,2026-03-08 17:32:50,0.6229,heatwave,0.6497,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,3999,https://www.aftonbladet.se/tagg/itamar-ben-gvir,Itamar Ben-Gvir,2026-03-08 17:33:33,0.6042,heatwave,0.6304,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,4004,https://www.aftonbladet.se/tagg/istanbul,Istanbul,2026-03-08 17:33:41,0.5603,climate crisis,0.6506,deaths,0.60,0.62,health
aftonbladet_se,Swedish,4018,https://www.aftonbladet.se/tagg/ishowspeed-darren-watkins-jr,IShowSpeed (Darren Watkins Jr),2026-03-08 17:33:58,0.6036,heatwave,0.5969,west nile virus,0.60,0.62,climate
aftonbladet_se,Swedish,4060,https://www.aftonbladet.se/tagg/internationell-handel,Internationell handel,2026-03-08 17:34:58,0.6415,heatwave,0.6636,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,4099,https://www.aftonbladet.se/tagg/indra-elg,Indra Elg,2026-03-08 17:35:44,0.6141,heatwave,0.6167,hunger,0.60,0.62,climate
aftonbladet_se,Swedish,4183,https://www.aftonbladet.se/tagg/ida-warg,Ida Warg,2026-03-08 17:37:29,0.6029,heatwave,0.6339,hunger,0.60,0.62,climate+health
aftonbladet_se,Swedish,4223,https://www.aftonbladet.se/tagg/husmorstips,Husmorstips,2026-03-08 17:38:23,0.6245,heatwave,0.6715,hunger,0.60,0.62,climate+health
aftonbladet_se,Swedish,4229,https://www.aftonbladet.se/tagg/hurtigruten,Hurtigruten,2026-03-08 17:38:33,0.6018,heatwave,0.6086,west nile virus,0.60,0.62,climate
aftonbladet_se,Swedish,4230,https://www.aftonbladet.se/tagg/hurghada,Hurghada,2026-03-08 17:38:34,0.6254,heatwave,0.6434,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,4265,https://www.aftonbladet.se/tagg/houston,Houston,2026-03-08 17:39:18,0.6208,heatwave,0.6333,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,4280,https://www.aftonbladet.se/tagg/hooja,Hooja,2026-03-08 17:39:39,0.6069,heatwave,0.6225,hunger,0.60,0.62,climate+health
aftonbladet_se,Swedish,4281,https://www.aftonbladet.se/tagg/honungsbin,Honungsbin,2026-03-08 17:39:40,0.5905,heatwave,0.6677,hunger,0.60,0.62,health
aftonbladet_se,Swedish,4300,https://www.aftonbladet.se/tagg/hogskola-och-universitet,Högskola och universitet,2026-03-08 17:40:04,0.6207,heatwave,0.6463,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,4311,https://www.aftonbladet.se/tagg/hockeystudion,Hockeystudion,2026-03-08 17:40:19,0.6062,heatwave,0.5967,casualties,0.60,0.62,climate
aftonbladet_se,Swedish,4344,https://www.aftonbladet.se/tagg/himalaya,Himalaya,2026-03-08 17:41:01,0.6571,heatwave,0.6433,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,4348,https://www.aftonbladet.se/tagg/highlights,Highlights,2026-03-08 17:41:06,0.6413,extreme event,0.6514,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,4442,https://www.aftonbladet.se/tagg/heathrow,Heathrow,2026-03-08 17:43:02,0.6027,heatwave,0.6315,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,4443,https://www.aftonbladet.se/tagg/heated-rivalry-tv-serie,Heated rivalry (tv-serie),2026-03-08 17:43:03,0.6008,heatwave,0.5912,hunger,0.60,0.62,climate
aftonbladet_se,Swedish,4450,https://www.aftonbladet.se/tagg/hayat-tahrir-al-sham-hts,Hayat Tahrir al-Sham (HTS),2026-03-08 17:43:13,0.6124,heatwave,0.6434,hunger,0.60,0.62,climate+health
aftonbladet_se,Swedish,4451,https://www.aftonbladet.se/tagg/hawaii,Hawaii,2026-03-08 17:43:15,0.6271,heatwave,0.6048,hunger,0.60,0.62,climate
aftonbladet_se,Swedish,4458,https://www.aftonbladet.se/tagg/hasthoppning,Hästhoppning,2026-03-08 17:43:23,0.6059,heatwave,0.6070,hunger,0.60,0.62,climate
aftonbladet_se,Swedish,4464,https://www.aftonbladet.se/tagg/hasse-aro,Hasse Aro,2026-03-08 17:43:31,0.6294,heatwave,0.6224,deaths,0.60,0.62,climate+health
aftonbladet_se,Swedish,4485,https://www.aftonbladet.se/tagg/haparanda,Haparanda,2026-03-08 17:43:58,0.6089,heatwave,0.6303,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,4500,https://www.aftonbladet.se/tagg/hans-brun,Hans Brun,2026-03-08 17:44:16,0.5868,extreme event,0.6252,deaths,0.60,0.62,health
aftonbladet_se,Swedish,4515,https://www.aftonbladet.se/tagg/hannah-widell,Hannah Widell,2026-03-08 17:44:34,0.5906,heatwave,0.6210,casualties,0.60,0.62,health
