source_uri,country,language,language_code,article_count
emirates247.com,United Arab Emirates,English,eng,595
nationalpost.com,Canada,English,eng,578
lequotidien.sn,Senegal,French,fra,557
postcourier.com.pg,Papua New Guinea,English,eng,541
bt.no,Norway,Norwegian,nob,445
lavieeco.com,Morocco,French,fra,386
vancouversun.com,Canada,English,eng,346
adressa.no,Norway,Norwegian,nob,340
publimetro.cl,Chile,Spanish,spa,300
elbilad.net,Algeria,Arabic,ara,299
elcomercio.com,Ecuador,Spanish,spa,297
observer.ug,Uganda,English,eng,238
theeastafrican.co.ke,Kenya,English,eng,206
bharian.com.my,Malaysia,Indonesian,ind,171
liberation.fr,France,French,fra,131
telegraaf.nl,Netherlands,Dutch,nld,91
inquirer.net,Philippines,English,eng,74
mwananchi.co.tz,Tanzania,English,eng,1
