,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_source[11300],0.191,0.048,0.101,0.283,0.0,0.0,30268.0,11639.0,1.0
p_source[11301],0.178,0.052,0.087,0.283,0.0,0.0,31609.0,12185.0,1.0
p_source[11302],0.101,0.036,0.039,0.173,0.0,0.0,33820.0,12303.0,1.0
p_source[11303],0.172,0.049,0.085,0.271,0.0,0.0,30812.0,12084.0,1.0
p_source[11304],0.084,0.028,0.034,0.139,0.0,0.0,26342.0,12316.0,1.0
p_source[11305],0.112,0.039,0.044,0.19,0.0,0.0,27852.0,12287.0,1.0
p_source[11306],0.155,0.051,0.064,0.255,0.0,0.0,32852.0,11605.0,1.0
p_source[11307],0.125,0.04,0.051,0.204,0.0,0.0,34890.0,11502.0,1.0
p_source[11308],0.211,0.054,0.109,0.318,0.0,0.0,33749.0,12822.0,1.0
p_source[11309],0.126,0.045,0.049,0.216,0.0,0.0,34739.0,12755.0,1.0
p_source[11310],0.134,0.045,0.054,0.222,0.0,0.0,33651.0,12552.0,1.0
p_source[11311],0.182,0.049,0.095,0.284,0.0,0.0,31674.0,12280.0,1.0
p_source[11312],0.219,0.052,0.12,0.319,0.0,0.0,29605.0,11889.0,1.0
p_source[11313],0.256,0.066,0.138,0.39,0.0,0.001,28922.0,11082.0,1.0
p_source[11314],0.157,0.043,0.076,0.241,0.0,0.0,33312.0,12521.0,1.0
p_source[11315],0.262,0.067,0.14,0.395,0.0,0.001,21839.0,12462.0,1.0
p_source[11316],0.173,0.046,0.092,0.27,0.0,0.0,33845.0,11941.0,1.0
p_source[11317],0.134,0.046,0.051,0.223,0.0,0.0,31897.0,11375.0,1.0
p_source[11318],0.192,0.066,0.076,0.326,0.0,0.001,38945.0,10055.0,1.0
p_source[11319],0.069,0.029,0.022,0.127,0.0,0.0,38452.0,11927.0,1.0
p_source[11320],0.085,0.034,0.03,0.153,0.0,0.0,39911.0,11097.0,1.0
p_source[11321],0.091,0.036,0.033,0.164,0.0,0.0,38330.0,11535.0,1.0
p_source[11322],0.072,0.029,0.026,0.132,0.0,0.0,38909.0,10465.0,1.0
p_source[11323],0.083,0.033,0.027,0.148,0.0,0.0,38536.0,11614.0,1.0
p_source[11324],0.094,0.037,0.034,0.169,0.0,0.0,40643.0,12018.0,1.0
p_source[11325],0.208,0.068,0.084,0.342,0.0,0.001,33508.0,11314.0,1.0
