,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_source[151],0.602,0.625,-0.62,1.84,0.005,0.005,17091.0,11727.0,1.0
z_source[152],1.087,0.795,-0.517,2.588,0.005,0.007,25288.0,11448.0,1.0
z_source[153],-1.6,0.758,-3.115,-0.155,0.005,0.006,22453.0,11761.0,1.0
z_source[154],-0.242,0.966,-2.101,1.674,0.005,0.009,34488.0,10912.0,1.0
z_source[155],0.787,0.433,-0.099,1.613,0.005,0.003,8335.0,10149.0,1.0
z_source[156],0.315,0.539,-0.708,1.394,0.005,0.004,12695.0,12978.0,1.0
z_source[157],0.635,0.484,-0.31,1.583,0.004,0.004,12366.0,11156.0,1.0
z_source[158],0.467,0.538,-0.587,1.522,0.005,0.004,10470.0,12464.0,1.0
z_source[159],0.586,0.398,-0.195,1.374,0.005,0.003,6488.0,9175.0,1.0
z_source[160],0.537,0.46,-0.399,1.414,0.005,0.004,10140.0,11177.0,1.0
z_source[161],0.777,0.421,-0.024,1.626,0.005,0.003,8254.0,10276.0,1.0
z_source[162],0.17,0.416,-0.627,1.009,0.005,0.003,7865.0,10425.0,1.0
z_source[163],-0.487,0.54,-1.53,0.555,0.006,0.004,7945.0,10563.0,1.0
z_source[164],-0.635,0.578,-1.727,0.537,0.005,0.004,11957.0,12713.0,1.0
z_source[165],-1.234,0.619,-2.475,-0.054,0.005,0.005,15423.0,12298.0,1.0
z_source[166],-0.772,0.42,-1.597,0.039,0.005,0.003,8678.0,9966.0,1.0
z_source[167],0.599,0.544,-0.458,1.658,0.006,0.004,8362.0,9873.0,1.0
z_source[168],0.939,0.596,-0.253,2.102,0.005,0.005,16280.0,12261.0,1.0
z_source[169],0.395,0.415,-0.419,1.206,0.004,0.003,8558.0,9658.0,1.0
z_source[170],0.302,0.58,-0.812,1.439,0.005,0.004,14965.0,12279.0,1.0
z_source[171],-0.843,0.688,-2.199,0.49,0.005,0.006,22267.0,12020.0,1.0
z_source[172],-0.675,0.897,-2.444,1.074,0.006,0.007,22855.0,13000.0,1.0
z_source[173],-0.582,0.456,-1.471,0.305,0.005,0.003,8526.0,10874.0,1.0
z_source[174],0.282,0.878,-1.433,2.035,0.005,0.008,25957.0,11623.0,1.0
z_source[175],0.63,0.491,-0.346,1.576,0.005,0.004,9791.0,11775.0,1.0
z_source[176],-0.194,0.845,-1.842,1.453,0.005,0.007,30804.0,11145.0,1.0
z_source[177],0.585,0.419,-0.225,1.408,0.005,0.003,8545.0,8913.0,1.0
z_source[178],1.288,0.45,0.415,2.188,0.005,0.003,9824.0,11135.0,1.0
z_source[179],-0.067,0.988,-1.998,1.865,0.005,0.009,36317.0,10532.0,1.0
z_source[180],-0.673,0.528,-1.719,0.34,0.004,0.004,14443.0,13135.0,1.0
z_source[181],-1.441,0.497,-2.421,-0.464,0.005,0.004,9102.0,10760.0,1.0
z_source[182],0.683,0.6,-0.512,1.826,0.006,0.004,11219.0,11877.0,1.0
z_source[183],-1.825,0.697,-3.198,-0.479,0.004,0.006,24331.0,11705.0,1.0
z_source[184],0.717,0.416,-0.093,1.525,0.005,0.003,6816.0,8968.0,1.0
z_source[185],0.813,0.487,-0.155,1.755,0.005,0.004,9880.0,10100.0,1.0
z_source[186],0.103,0.898,-1.614,1.911,0.005,0.008,35055.0,11648.0,1.0
z_source[187],0.201,0.562,-0.857,1.325,0.006,0.004,10404.0,11136.0,1.0
z_source[188],0.31,0.811,-1.33,1.837,0.005,0.008,28612.0,11093.0,1.0
z_source[189],-0.981,0.599,-2.137,0.206,0.005,0.004,12025.0,13320.0,1.0
z_source[190],0.507,0.556,-0.617,1.57,0.005,0.004,15058.0,12377.0,1.0
z_source[191],0.758,0.491,-0.199,1.723,0.005,0.004,10353.0,10973.0,1.0
z_source[192],0.573,0.532,-0.433,1.634,0.006,0.004,8984.0,10669.0,1.0
z_source[193],-0.644,0.596,-1.812,0.525,0.005,0.004,16108.0,11953.0,1.0
z_source[194],0.111,0.392,-0.692,0.842,0.005,0.003,5741.0,8043.0,1.0
z_source[195],-1.766,0.698,-3.173,-0.449,0.005,0.005,23581.0,13518.0,1.0
z_source[196],1.369,0.436,0.537,2.249,0.005,0.003,7846.0,10005.0,1.0
z_source[197],0.236,0.555,-0.859,1.328,0.005,0.004,12900.0,13202.0,1.0
z_source[198],-0.148,0.487,-1.072,0.829,0.004,0.004,13452.0,11922.0,1.0
z_source[199],-0.939,0.687,-2.315,0.36,0.004,0.006,24970.0,13035.0,1.0
z_source[200],-0.52,0.787,-2.063,0.99,0.005,0.007,25097.0,12911.0,1.0
z_source[201],-0.781,0.407,-1.571,0.025,0.005,0.004,6673.0,8827.0,1.0
z_source[202],-0.011,0.486,-0.959,0.953,0.004,0.003,11924.0,12444.0,1.0
z_source[203],1.208,0.631,-0.02,2.447,0.007,0.004,7716.0,9254.0,1.0
z_source[204],0.228,0.761,-1.249,1.73,0.006,0.006,18744.0,12410.0,1.0
z_source[205],0.767,0.636,-0.463,2.051,0.005,0.004,17525.0,13913.0,1.0
z_source[206],-0.071,0.994,-1.974,1.899,0.005,0.009,36428.0,11311.0,1.0
z_source[207],-2.798,0.442,-3.671,-1.952,0.005,0.003,7941.0,9751.0,1.0
z_source[208],-0.092,0.516,-1.073,0.942,0.005,0.003,10456.0,12685.0,1.0
z_source[209],-0.19,0.463,-1.044,0.743,0.005,0.003,7114.0,10322.0,1.0
z_source[210],0.456,0.422,-0.362,1.291,0.005,0.003,6439.0,8635.0,1.0
z_source[211],0.526,0.401,-0.283,1.288,0.005,0.003,6815.0,9465.0,1.0
z_source[212],1.015,0.398,0.241,1.785,0.005,0.003,6642.0,9307.0,1.0
z_source[213],-0.861,0.866,-2.564,0.811,0.005,0.008,33384.0,11420.0,1.0
z_source[214],0.252,0.612,-0.965,1.445,0.005,0.004,15251.0,13661.0,1.0
z_source[215],0.062,0.438,-0.798,0.917,0.005,0.003,7635.0,10476.0,1.0
z_source[216],0.12,0.533,-0.893,1.203,0.005,0.004,13108.0,12093.0,1.0
z_source[217],0.537,0.483,-0.417,1.459,0.004,0.004,12196.0,11742.0,1.0
z_source[218],0.33,0.558,-0.769,1.422,0.005,0.004,14787.0,12616.0,1.0
z_source[219],0.331,0.492,-0.647,1.292,0.005,0.003,11816.0,12317.0,1.0
