,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_source[164],-0.176,0.978,-2.029,1.761,0.005,0.009,32504.0,11586.0,1.0
z_source[165],0.039,0.978,-1.96,1.902,0.005,0.01,32715.0,10719.0,1.0
z_source[166],0.442,0.405,-0.356,1.234,0.004,0.003,10240.0,12020.0,1.0
z_source[167],1.219,0.418,0.398,2.038,0.004,0.003,9742.0,11691.0,1.0
z_source[168],0.57,0.378,-0.165,1.305,0.004,0.002,9161.0,12685.0,1.0
z_source[169],1.026,0.379,0.304,1.788,0.004,0.002,9016.0,12231.0,1.0
z_source[170],0.321,0.378,-0.418,1.053,0.004,0.002,9217.0,12801.0,1.0
z_source[171],0.044,0.341,-0.645,0.691,0.004,0.003,6812.0,10067.0,1.0
z_source[172],-0.518,0.386,-1.272,0.236,0.004,0.003,9339.0,10328.0,1.0
z_source[173],-0.123,0.366,-0.824,0.606,0.004,0.003,8560.0,10159.0,1.0
z_source[174],0.4,0.383,-0.392,1.106,0.004,0.003,9178.0,11033.0,1.0
z_source[175],0.565,0.382,-0.154,1.337,0.004,0.003,8580.0,9721.0,1.0
z_source[176],0.491,0.781,-1.027,2.024,0.005,0.006,20929.0,13235.0,1.0
z_source[177],-0.689,0.925,-2.492,1.127,0.005,0.009,37742.0,11400.0,1.0
z_source[178],-0.932,0.858,-2.601,0.743,0.004,0.008,37932.0,11496.0,1.0
z_source[179],1.521,0.352,0.856,2.222,0.005,0.003,5319.0,8578.0,1.0
z_source[180],0.825,0.243,0.358,1.306,0.006,0.003,1882.0,4335.0,1.0
z_source[181],0.922,0.247,0.435,1.402,0.006,0.003,1994.0,4600.0,1.0
z_source[182],0.947,0.247,0.457,1.42,0.005,0.003,2049.0,4534.0,1.0
z_source[183],1.165,0.251,0.667,1.648,0.006,0.003,1974.0,4555.0,1.0
z_source[184],1.123,0.255,0.628,1.616,0.005,0.003,2201.0,4974.0,1.0
z_source[185],-0.64,0.403,-1.409,0.16,0.004,0.003,8516.0,10945.0,1.0
z_source[186],-0.084,0.339,-0.756,0.571,0.004,0.002,5840.0,9291.0,1.0
z_source[187],0.096,0.317,-0.518,0.73,0.004,0.002,5352.0,9195.0,1.0
z_source[188],-0.319,0.306,-0.912,0.282,0.004,0.002,4946.0,8579.0,1.0
z_source[189],-0.161,0.315,-0.785,0.449,0.004,0.002,5111.0,8998.0,1.0
z_source[190],0.298,0.615,-0.924,1.469,0.004,0.005,21325.0,12595.0,1.0
z_source[191],0.061,0.518,-0.919,1.088,0.004,0.004,15453.0,13568.0,1.0
z_source[192],0.153,0.515,-0.839,1.157,0.004,0.004,14137.0,12671.0,1.0
z_source[193],-0.074,0.496,-1.061,0.873,0.004,0.003,13559.0,13183.0,1.0
z_source[194],0.603,0.777,-0.94,2.102,0.004,0.008,34757.0,11147.0,1.0
z_source[195],-0.076,0.989,-2.041,1.831,0.005,0.01,38652.0,11054.0,1.0
z_source[196],-0.151,0.987,-2.067,1.758,0.005,0.009,36348.0,10981.0,1.0
z_source[197],-0.043,0.957,-1.865,1.857,0.005,0.01,40030.0,11198.0,1.0
z_source[198],-0.165,0.939,-1.957,1.707,0.005,0.009,34789.0,11775.0,1.0
z_source[199],-0.192,0.957,-2.027,1.726,0.005,0.009,35646.0,11768.0,1.0
z_source[200],-0.028,0.91,-1.835,1.78,0.005,0.009,38390.0,11059.0,1.0
z_source[201],-0.065,0.988,-1.962,1.893,0.005,0.009,37057.0,11133.0,1.0
z_source[202],0.216,0.933,-1.577,2.067,0.005,0.009,36278.0,12000.0,1.0
z_source[203],-0.098,0.787,-1.66,1.47,0.005,0.008,28239.0,11394.0,1.0
z_source[204],-0.601,0.466,-1.535,0.285,0.004,0.004,11957.0,10892.0,1.0
z_source[205],0.326,0.3,-0.284,0.884,0.004,0.002,4619.0,8037.0,1.0
z_source[206],0.016,0.277,-0.533,0.564,0.004,0.002,3926.0,7090.0,1.0
z_source[207],-0.123,0.313,-0.737,0.479,0.004,0.002,5177.0,8405.0,1.0
z_source[208],1.083,0.289,0.53,1.665,0.004,0.002,4174.0,7604.0,1.0
z_source[209],0.488,0.29,-0.062,1.07,0.004,0.002,4539.0,8468.0,1.0
z_source[210],0.498,0.286,-0.075,1.048,0.004,0.002,4313.0,7566.0,1.0
z_source[211],0.866,0.279,0.321,1.417,0.004,0.002,4017.0,7600.0,1.0
