,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_source[759],-0.136,0.959,-1.964,1.806,0.006,0.009,27497.0,11043.0,1.0
z_source[760],0.318,0.285,-0.24,0.877,0.004,0.002,6349.0,8890.0,1.0
z_source[761],0.534,0.299,-0.051,1.13,0.004,0.002,6608.0,10057.0,1.0
z_source[762],1.122,0.28,0.583,1.678,0.004,0.002,5535.0,9317.0,1.0
z_source[763],1.594,0.278,1.076,2.169,0.004,0.002,5043.0,8865.0,1.0
z_source[764],1.135,0.293,0.563,1.708,0.004,0.002,6062.0,9941.0,1.0
z_source[765],-0.181,0.364,-0.903,0.518,0.005,0.003,6390.0,9654.0,1.0
z_source[766],0.265,0.354,-0.438,0.95,0.005,0.003,5943.0,9163.0,1.0
z_source[767],0.023,0.348,-0.65,0.709,0.005,0.003,5828.0,8199.0,1.0
z_source[768],0.646,0.351,-0.029,1.337,0.005,0.003,5866.0,8585.0,1.0
z_source[769],1.09,0.351,0.414,1.78,0.005,0.003,5986.0,8837.0,1.0
z_source[770],0.049,0.894,-1.711,1.786,0.006,0.007,24584.0,12864.0,1.0
z_source[771],1.308,0.524,0.307,2.35,0.005,0.004,12594.0,11429.0,1.0
z_source[772],-0.211,0.761,-1.735,1.251,0.005,0.007,21220.0,11042.0,1.0
z_source[773],-0.924,0.522,-2.005,0.048,0.004,0.004,14354.0,11079.0,1.0
z_source[774],0.08,0.382,-0.622,0.884,0.004,0.003,7398.0,10715.0,1.0
z_source[775],0.583,0.402,-0.218,1.358,0.004,0.003,8145.0,11756.0,1.0
z_source[776],0.243,0.956,-1.692,2.046,0.006,0.009,21916.0,11388.0,1.0
z_source[777],0.778,0.972,-1.118,2.676,0.006,0.009,23874.0,10742.0,1.0
z_source[778],-0.408,0.931,-2.23,1.395,0.006,0.008,25495.0,11287.0,1.0
z_source[779],-0.206,0.952,-1.988,1.744,0.006,0.009,24942.0,11095.0,1.0
z_source[780],-0.076,0.417,-0.919,0.714,0.004,0.003,9477.0,10776.0,1.0
z_source[781],-0.551,0.661,-1.861,0.746,0.005,0.006,18706.0,10843.0,1.0
z_source[782],-0.992,0.712,-2.378,0.423,0.005,0.007,21368.0,10398.0,1.0
z_source[783],0.173,0.599,-1.043,1.313,0.005,0.005,17823.0,11002.0,1.0
z_source[784],0.246,0.358,-0.44,0.961,0.005,0.003,5594.0,9064.0,1.0
z_source[785],-0.039,0.346,-0.712,0.628,0.005,0.003,5350.0,7820.0,1.0
z_source[786],0.39,0.357,-0.336,1.076,0.005,0.003,5522.0,7967.0,1.0
z_source[787],0.901,0.371,0.187,1.637,0.005,0.003,5696.0,9081.0,1.0
z_source[788],0.046,0.395,-0.723,0.825,0.005,0.003,6834.0,9244.0,1.0
z_source[789],1.1,0.468,0.17,2.01,0.004,0.004,12273.0,11890.0,1.0
z_source[790],0.337,0.525,-0.661,1.392,0.004,0.004,14299.0,12427.0,1.0
z_source[791],-0.114,0.492,-1.081,0.853,0.004,0.004,13309.0,11221.0,1.0
z_source[792],0.402,0.51,-0.598,1.406,0.004,0.004,13992.0,11501.0,1.0
z_source[793],0.985,0.413,0.152,1.771,0.004,0.003,9842.0,10543.0,1.0
z_source[794],-0.223,0.437,-1.072,0.637,0.004,0.003,10818.0,10688.0,1.0
z_source[795],0.403,0.402,-0.382,1.195,0.004,0.003,9164.0,10816.0,1.0
z_source[796],0.824,0.367,0.128,1.558,0.004,0.003,7776.0,10822.0,1.0
z_source[797],0.895,0.418,0.05,1.689,0.004,0.003,10455.0,11279.0,1.0
z_source[798],-0.895,0.538,-1.929,0.165,0.004,0.004,14590.0,12429.0,1.0
z_source[799],0.132,0.251,-0.362,0.613,0.004,0.002,3399.0,6830.0,1.0
z_source[800],0.065,0.264,-0.465,0.566,0.004,0.002,3828.0,7073.0,1.0
z_source[801],0.473,0.263,-0.043,0.988,0.004,0.002,3638.0,6628.0,1.0
z_source[802],0.048,0.268,-0.47,0.572,0.004,0.002,4067.0,7437.0,1.0
z_source[803],-0.441,0.286,-0.994,0.118,0.004,0.002,4269.0,7311.0,1.0
z_source[804],-1.114,0.76,-2.614,0.363,0.005,0.006,23591.0,12262.0,1.0
z_source[805],-1.123,0.742,-2.628,0.281,0.005,0.006,22460.0,11770.0,1.0
z_source[806],-0.208,0.95,-2.092,1.575,0.006,0.009,26894.0,10846.0,1.0
z_source[807],-0.082,0.977,-1.911,1.948,0.006,0.009,26166.0,10806.0,1.0
z_source[808],-0.129,0.964,-2.013,1.761,0.006,0.009,27760.0,11668.0,1.0
z_source[809],0.243,0.416,-0.56,1.063,0.004,0.003,11980.0,11366.0,1.0
z_source[810],0.158,0.457,-0.744,1.045,0.004,0.004,13682.0,11653.0,1.0
z_source[811],0.814,0.398,0.012,1.575,0.004,0.003,11360.0,10719.0,1.0
z_source[812],1.95,0.35,1.281,2.654,0.004,0.003,8855.0,11081.0,1.0
z_source[813],1.765,0.339,1.116,2.442,0.004,0.002,8468.0,10300.0,1.0
z_source[814],0.795,0.756,-0.732,2.201,0.005,0.006,22507.0,11180.0,1.0
z_source[815],0.6,0.565,-0.509,1.693,0.004,0.004,18504.0,13638.0,1.0
z_source[816],-0.307,0.755,-1.753,1.205,0.005,0.007,23579.0,11451.0,1.0
z_source[817],-0.486,0.557,-1.547,0.644,0.004,0.004,17230.0,12902.0,1.0
z_source[818],-0.266,0.488,-1.273,0.645,0.004,0.003,14476.0,13099.0,1.0
z_source[819],-0.252,0.376,-0.99,0.488,0.004,0.003,7227.0,11207.0,1.0
z_source[820],0.373,0.372,-0.337,1.109,0.004,0.003,7173.0,9761.0,1.0
z_source[821],0.085,0.36,-0.648,0.763,0.004,0.003,6778.0,10109.0,1.0
z_source[822],-0.015,0.36,-0.697,0.721,0.004,0.003,6853.0,9710.0,1.0
z_source[823],-0.577,0.39,-1.346,0.181,0.004,0.003,7783.0,10291.0,1.0
z_source[824],-0.033,0.981,-2.004,1.831,0.006,0.009,24730.0,10753.0,1.0
z_source[825],-0.272,0.946,-2.15,1.516,0.006,0.008,25661.0,11406.0,1.0
z_source[826],0.607,0.856,-1.102,2.213,0.006,0.008,23373.0,11007.0,1.0
z_source[827],-0.199,0.871,-1.941,1.465,0.005,0.008,27459.0,10960.0,1.0
z_source[828],-1.442,0.737,-2.886,0.016,0.005,0.006,23605.0,12262.0,1.0
z_source[829],-0.224,0.962,-2.004,1.768,0.006,0.01,27648.0,10176.0,1.0
z_source[830],-0.145,0.878,-1.92,1.533,0.006,0.008,24336.0,10387.0,1.0
z_source[831],-0.676,0.826,-2.286,0.928,0.005,0.007,25210.0,11656.0,1.0
z_source[832],0.275,0.943,-1.557,2.132,0.006,0.008,24805.0,11134.0,1.0
z_source[833],-0.287,0.96,-2.114,1.607,0.006,0.009,25426.0,10734.0,1.0
z_source[834],-1.263,0.332,-1.924,-0.631,0.005,0.003,5486.0,8726.0,1.0
z_source[835],-1.016,0.303,-1.616,-0.435,0.005,0.002,4419.0,7433.0,1.0
z_source[836],-0.816,0.288,-1.38,-0.257,0.005,0.002,3779.0,7299.0,1.0
z_source[837],-0.502,0.348,-1.175,0.188,0.004,0.003,6685.0,9847.0,1.0
z_source[838],-2.389,0.725,-3.786,-0.983,0.005,0.006,19739.0,11476.0,1.0
z_source[839],-0.154,0.621,-1.325,1.086,0.004,0.005,19803.0,11515.0,1.0
z_source[840],-0.013,0.611,-1.176,1.219,0.004,0.005,20299.0,12215.0,1.0
z_source[841],-0.252,0.635,-1.515,0.959,0.004,0.006,20557.0,11119.0,1.0
